weather_date,wind_direction,wind_speed,global_radiation,temperature,humity,atmospheric_pressure,precipitation
02/01/13 12:45,24.5,3.8,376.8,10.3,33,848.9,0
02/01/13 13:00,9.1,3,366.5,10.7,32,848.7,0
02/01/13 13:15,17.4,5.8,351.7,11.3,31,848.2,0
02/01/13 13:30,22.5,3,338.5,11.4,31,848.1,0
02/01/13 13:45,41.1,6.8,321.4,11.6,30,847.9,0
02/01/13 14:00,7.1,1.3,304,11.8,30,848.1,0
02/01/13 14:15,27.7,1.9,282,11.7,29,848,0
02/01/13 14:30,301.3,2.4,259,11.8,29,847.6,0
02/01/13 14:45,262.1,3.1,232.1,11.7,29,847.9,0
02/01/13 15:00,178.6,1.8,203.7,11.6,29,847.8,0
02/01/13 15:15,85.9,0.9,174.2,11.6,29,848,0
02/01/13 15:30,195.6,2.3,142.4,11.6,29,848,0
02/01/13 15:45,163,2.7,110.8,11.4,30,848,0
02/01/13 16:00,92,4.7,80.7,11.3,29,848.3,0
02/01/13 16:15,138.9,7.6,54.4,10.9,30,848.2,0
02/01/13 16:30,266.6,6.4,33.5,10.8,30,848.2,0
02/01/13 16:45,273.3,8.7,13.5,10.5,31,848.1,0
02/01/13 17:00,126.7,5.1,4.3,10.2,32,848.5,0
02/01/13 17:15,234.7,5.6,0.2,10,32,848.5,0
02/01/13 17:30,216.3,3.5,0,10,32,849,0
02/01/13 17:45,262.7,0,0,9.8,33,849,0
02/01/13 18:00,255.6,0,0,9.6,33,849.3,0
02/01/13 18:15,191.4,0,0,9.6,33,849.4,0
02/01/13 18:30,190.6,0,0,9.5,33,849.8,0
02/01/13 18:45,215.5,0,0,9.3,34,850.1,0
02/01/13 19:00,154.5,0,0,9.1,34,850.1,0
02/01/13 19:15,322.9,0,0,8.7,35,850.1,0
02/01/13 19:30,293.8,0,0,8.5,35,849.9,0
02/01/13 19:45,109.3,0,0,8.4,36,850,0
02/01/13 20:00,88.9,0,0,8.1,36,850.1,0
02/01/13 20:15,97.2,0,0,7.8,37,850.1,0
02/01/13 20:30,201.1,0,0,7.8,37,850.1,0
02/01/13 20:45,331.6,0,0,7.6,37,850.2,0
02/01/13 21:00,64,0,0,7,38,850.2,0
02/01/13 21:15,233.7,0,0,6.1,40,850.4,0
02/01/13 21:30,35.5,0,0.3,6.2,40,850.6,0
02/01/13 21:45,211.7,0,0,5.9,41,850.8,0
02/01/13 22:00,228.6,0,0,5.6,42,850.5,0
02/01/13 22:15,294.9,0,0,5.3,42,850.7,0
02/01/13 22:30,314.5,0,0,4.8,43,850.2,0
02/01/13 22:45,307,0,0,4.9,43,850.8,0
02/01/13 23:00,305.8,0,0,4.7,44,850.6,0
02/01/13 23:15,315,0,0,4.8,44,850.3,0
02/01/13 23:30,226.9,0,0,4.8,44,850.2,0
02/01/13 23:45,41.8,0,0,4.5,45,850.1,0
03/01/13 00:00,13.4,0,0,4.5,45,850.4,0
03/01/13 00:15,71.6,0,0,4.4,45,850,0
03/01/13 00:30,209.4,0,0,4.3,45,849.7,0
03/01/13 00:45,300.8,0,0,4.2,45,849.4,0
03/01/13 01:00,341.4,0,0,3.6,47,848.8,0
03/01/13 01:15,311.9,0,0,3.2,48,848.2,0
03/01/13 01:30,209.8,0,0,3.2,48,848.6,0
03/01/13 01:45,39.6,0,0,3.3,48,848.7,0
03/01/13 02:00,17.6,0,0,3.1,48,848.8,0
03/01/13 02:15,48.2,0,0,3.5,48,849.4,0
03/01/13 02:30,70.8,0,0,3.5,48,848.9,0
03/01/13 02:45,42.9,0,0,3.5,48,849.3,0
03/01/13 03:00,11.5,0,0,3.5,48,849.4,0
03/01/13 03:15,195.2,0,0,3.5,48,848.9,0
03/01/13 03:30,48.1,0,0,3.6,48,848.7,0
03/01/13 03:45,29.9,0,0,3.4,48,849.2,0
03/01/13 04:00,0.1,0,0,3.6,48,849.2,0
03/01/13 04:15,212.4,0,0,3.9,47,848.7,0
03/01/13 04:30,32.2,0,0,4.2,46,848.9,0
03/01/13 04:45,85.4,0,0,4,47,849.1,0
03/01/13 05:00,236.8,0,0,3.9,47,849.4,0
03/01/13 05:15,143.2,0,0,2.8,50,849,0
03/01/13 05:30,59.6,0,0,2,52,850,0
03/01/13 05:45,53.2,0,0,2.2,51,850.2,0
03/01/13 06:00,63.3,0,0,2.6,51,850.1,0
03/01/13 06:15,79,0,0,3,50,850.4,0
03/01/13 06:30,105.7,0.3,0,3.3,49,850.7,0
03/01/13 06:45,11.5,0,1.7,3.8,48,850.7,0
03/01/13 07:00,300.4,0,5.4,4,47,851,0
03/01/13 07:15,188.7,0,17.7,4.2,47,851.1,0
03/01/13 07:30,0,0,24.3,3.8,49,850.9,0
03/01/13 07:45,11.7,0.8,30.3,3.9,51,851.3,0
03/01/13 08:00,117,1,23.8,3.8,51,851.3,0
03/01/13 08:15,189,0,31.2,4,51,851.8,0
03/01/13 08:30,325.6,0,26.1,3.9,52,852.2,0
03/01/13 08:45,145.3,0.2,53.6,3.6,58,851.9,0
03/01/13 09:00,82.2,0,89.9,3.2,64,851.9,0
03/01/13 09:15,15,0,89.7,3.1,67,852.2,0
03/01/13 09:30,2.1,0,88.7,3.6,66,852.2,0
03/01/13 09:45,180,0,74.5,3.8,63,852.2,0
03/01/13 10:00,251.1,0.2,72.2,3.6,62,852.2,0
03/01/13 10:15,9.2,0,61.5,3.3,62,852.3,0
03/01/13 10:30,0.4,0,79.5,3.1,65,851.9,0
03/01/13 10:45,3.5,0,90.6,2.6,71,851.6,0
03/01/13 11:00,1.6,0,160.4,2.6,74,851.4,0
03/01/13 11:15,211,1.4,179.9,2.6,73,851.3,0
03/01/13 11:30,317.5,3.5,113,2.5,73,851.1,0
